,"07:00","07:55","J","62960"
,"08:00","08:55","J","46591"
,"07:00","08:55","LI","104034"
,"07:00","07:55","V","42597"
,"13:00","14:55","L","63398"
,"19:00","20:55","L","46594"
,"19:00","21:55","I","46594"
,"17:00","18:55","LI","62966"
,"11:00","12:55","IV","93810"
,"15:00","16:55","J","78709"
,"16:00","16:55","M","78709"
,"15:00","15:55","I","117607"
,"13:00","14:55","M","104053"
,"13:00","13:55","J","104053"
,"11:00","12:55","I","125988"
,"13:00","14:55","LI","126014"
,"15:00","16:55","V","42403"
,"11:00","12:55","L","42413"
,"11:00","12:55","J","63960"
,"11:00","11:55","V","63960"
,"15:00","16:55","M","87939"
,"11:00","12:55","M","82837"
,"18:00","19:55","J","104047"
,"09:00","10:55","MJ","62964"
,"07:00","08:55","MJ","104035"
,"19:00","20:55","LI","42541"
,"19:00","19:55","V","42541"
,"17:00","18:55","L","42547"
,"17:00","17:55","I","42547"
,"15:00","16:55","J","67485"
,"17:00","17:55","J","79444"
,"10:00","10:55","V","72269"
,"07:00","08:55","I","125992"
,"07:00","07:55","V","125992"
,"18:00","18:55","M","44856"
,"07:00","09:55","L","126002"
,"15:00","16:55","L","60828"
,"07:00","08:55","MJ","104051"
,"11:00","12:55","MJ","42271"
,"12:00","12:55","V","42271"
,"09:00","10:55","MJ","42298"
,"19:00","20:55","L","62959"
,"19:00","19:55","I","62959"
,"09:00","10:55","LI","95479"
,"15:00","16:55","J","46586"
,"07:00","08:55","LI","42543"
,"07:00","07:55","V","42543"
,"11:00","12:55","LI","42532"
,"11:00","11:55","V","42532"
,"15:00","16:55","LI","42542"
,"15:00","15:55","V","42542"
,"13:00","14:55","LV","42533"
,"14:00","14:55","I","42533"
,"17:00","18:55","L","42550"
,"17:00","17:55","I","42550"
,"15:00","16:55","M","50309"
,"17:00","18:55","J","67484"
,"09:00","10:55","V","42641"
,"17:00","18:55","M","42640"
,"09:00","13:55","S","50094"
,"13:00","14:55","J","125952"
,"13:00","14:55","MJ","44834"
,"07:00","08:55","MJ","126003"
,"11:00","12:55","L","42344"
,"11:00","11:55","V","42344"
,"19:00","20:55","L","79439"
,"19:00","20:55","I","79439"
,"11:00","12:55","I","92251"
,"13:00","14:55","MJ","126009"
,"15:00","16:55","L","46590"
,"15:00","15:55","I","46590"
,"13:00","14:55","LI","126011"
,"09:00","10:55","MJ","42459"
,"17:00","18:55","MJ","83281"
,"17:00","18:55","LI","123144"
,"11:00","12:55","MJ","78701"
,"15:00","16:55","M","50072"
,"09:00","10:55","V","104050"
,"09:00","10:55","LI","125978"
,"13:00","13:55","V","42593"
,"15:00","15:55","V","42630"
,"19:00","20:55","MJ","63407"
,"20:00","20:55","V","63407"
,"07:00","08:55","L","65188"
,"07:00","07:55","I","65188"
,"08:00","08:55","V","104051"
,"11:00","12:55","L","106245"
,"11:00","11:55","I","106245"
,"15:00","16:55","M","104048"
,"15:00","15:55","J","104048"
,"11:00","12:55","M","42411"
,"17:00","18:55","L","94622"
,"17:00","18:55","I","117588"
,"19:00","20:55","LIV","46580"
,"09:00","10:55","L","117580"
,"09:00","10:55","I","117580"
,"15:00","16:55","LI","82284"
,"13:00","14:55","MJ","42595"
,"13:00","13:55","V","42595"
,"13:00","14:55","LI","42593"
,"11:00","12:55","J","131074"
,"12:00","12:55","V","131074"
,"11:00","11:55","V","95236"
,"16:00","18:55","J","78688"
,"09:00","10:55","MJ","89183"
,"07:00","08:55","MJ","125959"
,"09:00","09:55","V","104386"
,"13:00","14:55","L","42272"
,"11:00","12:55","LI","104072"
,"11:00","12:55","V","117612"
,"17:00","18:55","MJ","44729"
,"09:00","10:55","V","02987"
,"07:00","08:55","MJ","38453"
,"15:00","16:55","LI","62962"
,"17:00","18:55","LI","02994"
,"09:00","09:55","J","104056"
,"09:00","10:55","M","117606"
,"13:00","14:55","I","126007"
,"15:00","16:55","MJ","117594"
,"13:00","14:55","MJ","42630"
,"13:00","13:55","V","03052"
,"13:00","13:55","V","03000"
,"13:00","13:55","V","03001"
,"13:00","13:55","V","17662"
,"13:00","13:55","V","03053"
,"11:00","12:55","MJ","08042"
,"07:00","08:55","LIV","78693"
,"09:00","10:55","LI","117585"
,"15:00","16:55","L","117596"
,"15:00","17:55","I","117596"
,"13:00","14:55","I","42272"
,"13:00","14:55","MJ","78691"
,"13:00","13:55","V","78691"
,"15:00","15:55","V","117571"
,"07:00","08:55","MJ","44739"
,"15:00","16:55","MJ","104041"
,"11:00","12:55","IV","126005"
,"07:00","08:55","LIV","50083"
,"17:00","18:55","V","50084"
,"19:00","20:55","MJ","50084"
,"19:00","20:55","V","50085"
,"17:00","19:55","L","117592"
,"08:00","12:55","S","50091"
,"07:00","08:55","MJ","126021"
,"09:00","10:55","MJ","62961"
,"17:00","18:55","MJ","62963"
,"09:00","10:55","LI","79452"
,"09:00","09:55","V","79452"
,"18:00","18:55","I","117593"
,"11:00","12:55","L","42643"
,"11:00","12:55","MJ","44846"
,"11:00","12:55","LMJ","50079"
,"15:00","16:55","LIJ","50082"
,"19:00","20:55","LI","50085"
,"09:00","10:55","V","81713"
,"09:00","10:55","L","127434"
,"17:00","18:55","MJ","42387"
,"08:00","12:55","S","50097"
,"07:00","08:55","MJ","50090"
,"11:00","12:55","I","87316"
,"07:00","08:55","MJ","126019"
,"07:00","08:55","L","46591"
